Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.338619187290064,-0.000162910163891747,0.234771206125617,0,0,0,90.0457257239936,4.89388987338462,-0.00136474115893025,-1.05008258735402,9.8227363970549,-0.00408270410883873,11.1213786049405,0,0,0,0,0,0,package://agrobot/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agrobot/meshes/base_link.STL,,Chassis base-1,base_link_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_rear_wheel_link,-6.88524348646524E-10,-0.0971549519873335,1.125871895713E-09,0,0,0,35.6042214737412,0.708004621980203,1.07770064052363E-09,6.70022802098861E-11,1.27149421818034,-1.75179561332183E-09,0.708004621897381,0,0,0,0,0,0,package://agrobot/meshes/left_rear_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://agrobot/meshes/left_rear_wheel_link.STL,,Wheel 1-6,left_rear_wheel_coord,lb_axis,left_rear_wheel_joint,continuous,-0.377856904248594,0.472821,-0.1457325,0,0,0,base_link,0,1,0,1,1,,,,,,,,,,
right_rear_wheel_link,7.70649155601433E-10,0.0971550480126593,-1.07134373594775E-09,0,0,0,35.6042214737478,0.708004621982386,-1.20553451036157E-09,7.2294183370238E-11,1.27149421820327,1.66639214273336E-09,0.7080046219204,0,0,0,0,0,0,package://agrobot/meshes/right_rear_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://agrobot/meshes/right_rear_wheel_link.STL,,Wheel 1-7,right_rear_wheel_coord,rb_axis,right_rear_wheel_joint,continuous,-0.377856904248594,-0.472820999999999,-0.1457325,0,0,0,base_link,0,-1,0,1,1,,,,,,,,,,
right_steer_link,0.00106983010521355,-0.058216575717977,0.0586919568981064,0,0,0,2.02221873415406,0.0237510071456577,0.000349321803548295,8.49347969022073E-05,0.00474702693466583,-0.00462206016825545,0.0198029274091733,0,0,0,0,0,0,package://agrobot/meshes/right_steer_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agrobot/meshes/right_steer_link.STL,,Front Joint-3,right_steer_coord,right_steer_axis,right_steer_joint,revolute,0.269843095751407,-0.113347500000001,-0.165163500000007,0,0,0,base_link,0,0,1,1,1,-0.5,0.5,,,,,,,,
right_front_wheel_link,-0.00178494838394699,0.0971386499534298,-1.03492078795675E-09,0,0,0,35.6042214682187,0.70819481994374,-0.0103507693932998,-1.14535353385098E-10,1.27130402010412,1.61921169599121E-09,0.70800462188146,0,0,0,0,0,0,package://agrobot/meshes/right_front_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://agrobot/meshes/right_front_wheel_link.STL,,Wheel 1-9,right_front_wheel_coord,rf_axis,right_front_wheel_joint,continuous,0.00600932049673797,-0.327033293258374,0.0194310000000003,0,0,0,right_steer_link,0.0183721546209595,-0.999831217723563,0,1,1,,,,,,,,,,
left_steer_link,-7.93909673002524E-08,0.0582264056008295,0.0586919564086109,0,0,0,2.0222188316113,0.0237574260903284,9.05664891630045E-10,-2.90916636093196E-09,0.0047406081835411,0.00462284049826763,0.0198029275829883,0,0,0,0,0,0,package://agrobot/meshes/left_steer_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agrobot/meshes/left_steer_link.STL,,Front Joint-1,left_steer_coord,left_steer_axis,left_steer_joint,revolute,0.269843095751406,0.1133475,-0.1651635,0,0,0,base_link,0,0,-1,1,1,-0.5,0.5,,,,,,,,
left_front_wheel_link,-9.18307208053193E-10,-0.0971549519880449,9.47844053245106E-10,0,0,0,35.6042214743438,0.70800462196026,1.43513145970104E-09,7.81085571079474E-11,1.27149421820327,-1.47327217429804E-09,0.708004621942521,0,0,0,0,0,0,package://agrobot/meshes/left_front_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://agrobot/meshes/left_front_wheel_link.STL,,Wheel 1-8,left_front_wheel_coord,lf_axis,left_front_wheel_joint,continuous,0,0.3270885,0.0194310000000001,0,0,0,left_steer_link,0,1,0,1,1,,,,,,,,,,
lidar_link,-5.55111512312578E-17,0,-5.55111512312578E-17,0,0,0,0.87856337260668,0.00145328733893972,3.061917552346E-36,5.14974347887166E-20,0.00145328733893972,-2.34952547281483E-36,0.0010776550138266,0,0,0,0,0,0,package://agrobot/meshes/lidar_link.STL,1,1,1,1,0,0,0,0,0,0,package://agrobot/meshes/lidar_link.STL,,LIDAR-1,lidar_coord,lidar_axis,lidar_joint,fixed,0.3556,0.00635000000000025,0.476885,0,0,0,base_link,0,0,0,,,,,,,,,,,,
0,7.22391839399344E-06,-0.000475137384474633,0.00243497864398173,0,0,0,1.91435201606526,0.00312084570629236,1.03835097418113E-07,2.20016415047805E-07,0.00309492725703448,5.55031448921244E-07,0.00574920281992534,0,0,0,0,0,0,package://agrobot/meshes/0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agrobot/meshes/0.STL,,UR10-1/Base-1,0_co,Axis_base_0_joint,base_0_joint,fixed,-0.400240654248588,0.00634999999999925,0.437005,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
1,0.000999697019135302,0.0685590146345417,0.0115695327417828,0,0,0,8.30725771838491,0.0290070611357098,-0.00024404396574081,-0.000162929495467449,0.0272249526419641,-0.00280761572612354,0.0271112300666375,0,0,0,0,0,0,package://agrobot/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrobot/meshes/1.STL,,UR10-1/Size 4 Joint-1,1_co,01_ax,0_1_joint,revolute,0,0,0.032,1.5707963267949,0,-3.14159265358979,0,0,1,0,0,0,-3.14,3.14,,,,,,,,
